Driver ,Time ,Gap ,Team
VER,72.272,0,Red Bull
SAI,72.734,0.462,Ferrari
NOR,72.776,0.504,McLaren
GAS,72.816,0.544,Alpine
HAM,72.818,0.546,Mercedes
STR,72.994,0.722,Aston Martin
OCO,73.001,0.729,Alpine
PIA,73.059,0.787,McLaren
ALO,73.098,0.826,Aston Martin
HUL,73.229,0.957,Haas
RUS,73.326,1.054,Mercedes
PER,73.334,1.062,Red Bull
ZHO,73.521,1.249,Alfa Romeo 
TSU,73.862,1.59,AlphaTauri
BOT,73.977,1.705,Alfa Romeo 
MAG,74.042,1.77,Haas
ALB,74.063,1.791,Williams
LEC,74.079,1.807,Ferrari
DEV,74.083,1.811,AlphaTauri
SAR,74.699,2.427,Williams