Driver,Gap,,,,,
ALB,1.241642857,,,,,
ALO,0.929357143,,,,RedBULL,-1.592
BEA,1.17,,,,Mclaren,-0.137
BOT,1.845928571,,,,ferrari,-0.024
GAS,2.368071429,,,,mercedes,-0.030285714
HAM,0.660214286,,,,,0.401071429
HUL,1.309857143,,,,,0.65002381
LEC,0.489642857,,,,,-0.376
MAG,2.047428571,,,,,
NOR,0.338428571,,,,,-0.738
OCO,1.992357143,,,,,-0.25
PER,1.664428571,,,,,-0.09
PIA,0.475785714,,,,,
RIC,1.330857143,,,,,
RUS,0.6905,,,,,
SAI,0.513153846,,,,,
SAR,1.891666667,,,,,
STR,1.178928571,,,,,
TSU,1.241357143,,,,,
VER,0.072785714,,,,,
ZHO,2.247,,,,,