,DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition
1,1,M VERSTAPPEN,VER,Red Bull Racing,1,1
16,16,C LECLERC,LEC,Ferrari,3,2
11,11,S PEREZ,PER,Red Bull Racing,2,3
14,14,F ALONSO,ALO,Aston Martin,5,4
81,81,O PIASTRI,PIA,McLaren,4,5
4,4,L NORRIS,NOR,McLaren,8,6
63,63,G RUSSELL,RUS,Mercedes,6,7
44,44,L HAMILTON,HAM,Mercedes,9,8
22,22,Y TSUNODA,TSU,RB,14,9
18,18,L STROLL,STR,Aston Martin,19,10
38,38,O BEARMAN,BEA,Ferrari,7,11
23,23,A ALBON,ALB,Williams,11,12
20,20,K MAGNUSSEN,MAG,Haas F1 Team,12,13
3,3,D RICCIARDO,RIC,RB,16,14
27,27,N HULKENBERG,HUL,Haas F1 Team,10,15
77,77,V BOTTAS,BOT,Kick Sauber,17,16
31,31,E OCON,OCO,Alpine,13,17
10,10,P GASLY,GAS,Alpine,20,18
2,2,L SARGEANT,SAR,Williams,15,19
24,24,G ZHOU,ZHO,Kick Sauber,18,20