Driver ,SQ1,SQ1GAP,SQ2,SQ2GAP,SQ3,SQ3GAP
NOR,96.384,0.274,96.047,0.441,117.94,0
HAM,97.181,1.071,96.287,0.681,119.201,1.261
ALO,96.883,0.773,96.119,0.513,119.915,1.975
VER,96.456,0.346,95.606,0,120.028,2.088
SAI,96.719,0.609,96.052,0.446,120.214,2.274
PER,96.11,0,95.781,0.175,120.375,2.435
LEC,96.537,0.427,95.711,0.105,120.566,2.626
PIA,96.542,0.432,95.853,0.247,120.99,3.05
BOT,97.112,1.002,96.056,0.45,121.044,3.104
ZHO,97.544,1.434,96.307,0.701,123.537,5.597
RUS,97.31,1.2,96.345,0.739,0,0
MAG,97.033,0.923,96.473,0.867,0,0
HUL,96.924,0.814,96.478,0.872,0,0
RIC,97.321,1.211,96.553,0.947,0,0
STR,96.961,0.851,96.677,1.071,0,0
GAS,97.632,1.522,0,0,0,0
OCO,97.72,1.61,0,0,0,0
ALB,97.812,1.702,0,0,0,0
TSU,97.892,1.782,0,0,0,0
SAR,97.923,1.813,0,0,0,0