Driver ,Laptime,Lap,,,,,,,,,,,,,,,
PER,76.289,29,,,,,,,,,,,,,,,
VET,76.298,29,,,,,,,,,,,,,,,
GAS,76.723,29,,,,,,,,,,,,,,,
HAM,93.051,29,,,,,,,,,,,,,,,
PER,75.934,30,,,,,,,,,,,,,,,
VET,76.03,30,,,,,,,,,,,,,,,
GAS,93.589,30,,,,,,,,,,,,,,,
HAM,78.739,30,,,,,,,,,,,,,,,
PER,76.166,31,,,,,,,,,,,,,,,
VET,92.812,31,,,,,,,,,,,,,,,
GAS,81.727,31,,,,,,,,,,,,,,,
HAM,79.326,31,,,,,,,,,,,,,,,
PER,74.552,32,,,,,,,,,,,,,,,
VET,79.635,32,,,,,,,,,,,,,,,
GAS,78.95,32,,,,,,,,,,,,,,,
HAM,78.966,32,,,,,,,,,,,,,,,
PER,74.67,33,,,,,,,,,,,,,,,
VET,75.316,33,,,,,,,,,,,,,,,
GAS,76.459,33,,,,,,,,,,,,,,,
HAM,77.702,33,,,,,,,,,,,,,,,
PER,75.062,34,,,,,,,,,,,,,,,
VET,75.416,34,,,,,,,,,,,,,,,
GAS,76.292,34,,,,,,,,,,,,,,,
HAM,76.42,34,,,,,,,,,,,,,,,
PER,92.675,35,,,,,,,,,,,,,,,
VET,75.568,35,,,,,,,,,,,,,,,
GAS,75.894,35,,,,,,,,,,,,,,,
HAM,75.929,35,,,,,,,,,,,,,,,
PER,79.543,36,,,,,,,,,,,,,,,
VET,77.038,36,,,,,,,,,,,,,,,
GAS,76.031,36,,,,,,,,,,,,,,,
HAM,76.036,36,,,,,,,,,,,,,,,