Driver ,Position ,Lap ,Pits,,,,,,
PER,8,28,0,,,,,,
HAM,6,28,0,,,,,,
GAS,5,28,0,,,,,,
VET,7,28,0,,,,,,
PER,7,29,0,,,,,,
HAM,8,29,44,,,,,,
GAS,5,29,0,,,,,,
VET,6,29,0,,,,,,
PER,4,30,0,,,,,,
HAM,7,30,0,,,,,,
GAS,6,30,10,,,,,,
VET,3,30,0,,,,,,
PER,3,31,0,,,,,,
HAM,7,31,0,,,,,,
GAS,6,31,0,,,,,,
VET,5,31,5,,,,,,
PER,2,32,0,,,,,,
HAM,7,32,0,,,,,,
GAS,6,32,0,,,,,,
VET,5,32,0,,,,,,
PER,2,33,0,,,,,,
HAM,7,33,0,,,,,,
GAS,6,33,0,,,,,,
VET,5,33,0,,,,,,
PER,2,34,0,,,,,,
HAM,7,34,0,,,,,,
GAS,6,34,0,,,,,,
VET,5,34,0,,,,,,
PER,4,35,11,,,,,,
HAM,7,35,0,,,,,,
GAS,6,35,0,,,,,,
VET,5,35,0,,,,,,
PER,4,36,0,,,,,,
HAM,7,36,0,,,,,,
GAS,6,36,0,,,,,,
VET,5,36,0,,,,,,