Driver,Position,Lap
BOT,1,63
BOT,1,64
BOT,1,65
BOT,1,66
BOT,1,67
BOT,1,68
BOT,1,69
BOT,1,70
BOT,1,71
LEC,5,63
LEC,4,64
LEC,4,65
LEC,3,66
LEC,3,67
LEC,3,68
LEC,3,69
LEC,3,70
LEC,3,71
NOR,4,63
NOR,5,64
NOR,5,65
NOR,5,66
NOR,5,67
NOR,5,68
NOR,4,69
NOR,4,70
NOR,4,71
HAM,2,63
HAM,2,64
HAM,2,65
HAM,2,66
HAM,2,67
HAM,2,68
HAM,2,69
HAM,2,70
HAM,2,71
SAI,6,63
SAI,6,64
SAI,6,65
SAI,6,66
SAI,6,67
SAI,6,68
SAI,6,69
SAI,6,70
SAI,5,71
PER,3,63
PER,3,64
PER,3,65
PER,4,66
PER,4,67
PER,4,68
PER,5,69
PER,5,70
PER,6,71